"SETTLEMENT_PERIOD","halfhourlysolar","halfhourlywind","demand"
1,0,1401.02191780822,19990
1,0,1401.02191780822,19277
1,0,1401.02191780822,18654
1,0,1401.02191780822,20033
1,0,1401.02191780822,19523
1,0,1401.02191780822,20196
1,0,1401.02191780822,20597
1,0,1401.02191780822,20389
1,0,1401.02191780822,19622
1,0,1401.02191780822,19337
1,0,1401.02191780822,19967
1,0,1401.02191780822,19811
1,0,1401.02191780822,19923
1,0,1401.02191780822,20511
1,0,1401.02191780822,20567
1,0,1401.02191780822,20106
1,0,1401.02191780822,20412
1,0,1401.02191780822,21754
1,0,1401.02191780822,21789
1,0,1401.02191780822,21859
1,0,1401.02191780822,21313
1,0,1401.02191780822,19334
1,0,1401.02191780822,19129
1,0,1401.02191780822,19197
1,0,1401.02191780822,20018
1,0,1401.02191780822,19774
1,0,1401.02191780822,18304
1,0,1401.02191780822,19276
1,0,1401.02191780822,18818
1,0,1401.02191780822,18797
1,0,1401.02191780822,18458
1,0,1401.02191780822,19406
1,0,1401.02191780822,19466
1,0,1401.02191780822,19225
1,0,1401.02191780822,18732
1,0,1401.02191780822,18099
1,0,1401.02191780822,17114
1,0,1401.02191780822,17671
1,0,1401.02191780822,19314
1,0,1401.02191780822,19693
1,0,1401.02191780822,19510
1,0,1401.02191780822,18983
1,0,1401.02191780822,18852
1,0,1401.02191780822,18943
1,0,1401.02191780822,17692
1,0,1401.02191780822,19270
1,0,1401.02191780822,19473
1,0,1401.02191780822,20185
1,0,1401.02191780822,20633
1,0,1401.02191780822,19807
1,0,1401.02191780822,19405
1,0,1401.02191780822,19325
1,0,1401.02191780822,19996
1,0,1401.02191780822,20033
1,0,1401.02191780822,19938
1,0,1401.02191780822,19891
1,0,1401.02191780822,19516
1,0,1401.02191780822,18911
1,0,1401.02191780822,18193
1,0,1401.02191780822,18451
1,0,1401.02191780822,19472
1,0,1401.02191780822,19767
1,0,1401.02191780822,20077
1,0,1401.02191780822,19636
1,0,1401.02191780822,18513
1,0,1401.02191780822,18938
1,0,1401.02191780822,20511
1,0,1401.02191780822,20230
1,0,1401.02191780822,21052
1,0,1401.02191780822,20810
1,0,1401.02191780822,19687
1,0,1401.02191780822,19309
1,0,1401.02191780822,18469
1,0,1401.02191780822,19356
1,0,1401.02191780822,20135
1,0,1401.02191780822,20041
1,0,1401.02191780822,19149
1,0,1401.02191780822,20051
1,0,1401.02191780822,18794
1,0,1401.02191780822,18684
1,0,1401.02191780822,19428
1,0,1401.02191780822,19281
1,0,1401.02191780822,18374
1,0,1401.02191780822,19074
1,0,1401.02191780822,19607
1,0,1401.02191780822,19319
1,0,1401.02191780822,17251
1,0,1401.02191780822,18494
1,0,1401.02191780822,19510
1,0,1401.02191780822,19558
1,0,1401.02191780822,18505
1,0,1401.02191780822,19717
1,0,1401.02191780822,19179
1,0,1401.02191780822,18469
1,0,1401.02191780822,19695
1,0,1401.02191780822,18069
1,0,1401.02191780822,20224
1,0,1401.02191780822,20130
1,0,1401.02191780822,20707
1,0,1401.02191780822,19724
1,0,1401.02191780822,18659
1,0,1401.02191780822,20047
1,0,1401.02191780822,20936
1,0,1401.02191780822,20484
1,0,1401.02191780822,19657
1,0,1401.02191780822,21041
1,0,1401.02191780822,19208
1,0,1401.02191780822,19162
1,0,1401.02191780822,20137
1,0,1401.02191780822,19185
1,0,1401.02191780822,19913
1,0,1401.02191780822,20255
1,0,1401.02191780822,21739
1,0,1401.02191780822,18860
1,0,1401.02191780822,18578
1,0,1401.02191780822,20717
1,0,1401.02191780822,18691
1,0,1401.02191780822,18625
1,0,1401.02191780822,20117
1,0,1401.02191780822,19834
